timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670793211476,114,Post Request,200,OK,Endurance Test 1-13,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,114,0,0
1670793212635,494,Gets all users,200,OK,Endurance Test 1-14,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,494,0,382
1670793213130,111,Delete Request,200,OK,Endurance Test 1-14,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793213242,110,Get by ID Request,200,OK,Endurance Test 1-14,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793213353,111,Put Request,200,OK,Endurance Test 1-14,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793213465,112,Post Request,200,OK,Endurance Test 1-14,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,112,0,0
1670793214633,494,Gets all users,200,OK,Endurance Test 1-15,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,494,0,374
1670793215127,113,Delete Request,200,OK,Endurance Test 1-15,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,113,0,0
1670793215241,110,Get by ID Request,200,OK,Endurance Test 1-15,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793215352,109,Put Request,200,OK,Endurance Test 1-15,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793215461,117,Post Request,200,OK,Endurance Test 1-15,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,117,0,0
1670793216641,504,Gets all users,200,OK,Endurance Test 1-16,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,504,0,392
1670793217145,109,Delete Request,200,OK,Endurance Test 1-16,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793217254,114,Get by ID Request,200,OK,Endurance Test 1-16,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,114,0,0
1670793217368,111,Put Request,200,OK,Endurance Test 1-16,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793217479,110,Post Request,200,OK,Endurance Test 1-16,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793218638,574,Gets all users,200,OK,Endurance Test 1-17,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,574,0,464
